"","accession_id_pair"
"1","QRU91422.1_QRU91746.1"
"2","QRU91590.1_QRU91746.1"
"3","QRU91938.1_QRU91746.1"
"4","QRU91938.1_QRU91422.1"
"5","QRU92058.1_QRU91422.1"
"6","QRU91086.1_QRU91746.1"
"7","QRU91014.1_QRU91422.1"
"8","QRU91014.1_QRU91746.1"
"9","QRU92991.1_QRU91422.1"
"10","QRU92991.1_QRU91746.1"
"11","QRU92154.1_QRU91422.1"
"12","QRU92154.1_QRU91746.1"
"13","QRU92058.1_QRU91590.1"
"14","QRU92058.1_QRU91746.1"
"15","QRU91590.1_QRU91422.1"
"16","QRU91014.1_QRU91590.1"
"17","QRU90810.1_QRU91422.1"
"18","QRU90810.1_QRU91746.1"
"19","QRU91182.1_QRU91422.1"
"20","QRU91182.1_QRU91746.1"
"21","QRU91206.1_QRU91422.1"
"22","QRU91206.1_QRU91746.1"
"23","QRU92991.1_QRU91590.1"
"24","QRU91218.1_QRU91422.1"
"25","QRU91218.1_QRU91746.1"
"26","QRU91290.1_QRU91422.1"
"27","QRU91290.1_QRU91746.1"
"28","QRU91434.1_QRU91422.1"
"29","QRU91434.1_QRU91746.1"
"30","QRU91374.1_QRU91422.1"
"31","QRU91374.1_QRU91746.1"
"32","QRU91662.1_QRU91422.1"
"33","QRU91662.1_QRU91746.1"
"34","QRU91686.1_QRU91422.1"
"35","QRU91686.1_QRU91746.1"
"36","QRU91578.1_QRU91422.1"
"37","QRU91578.1_QRU91746.1"
"38","QRU91974.1_QRU91422.1"
"39","QRU91974.1_QRU91746.1"
"40","QRU92297.1_QRU91422.1"
"41","QRU92297.1_QRU91746.1"
"42","QRU92226.1_QRU91422.1"
"43","QRU92226.1_QRU91746.1"
"44","QRU92154.1_QRU91590.1"
"45","QRU90810.1_QRU91590.1"
"46","QRU91182.1_QRU91590.1"
"47","QRU91206.1_QRU91590.1"
"48","QRU91218.1_QRU91590.1"
"49","QRU91290.1_QRU91590.1"
"50","QRU91434.1_QRU91590.1"
"51","QRU91374.1_QRU91590.1"
"52","QRU91662.1_QRU91590.1"
"53","QRU91686.1_QRU91590.1"
"54","QRU91578.1_QRU91590.1"
"55","QRU91974.1_QRU91590.1"
"56","QRU92297.1_QRU91590.1"
"57","QRU92226.1_QRU91590.1"
"58","QRU91086.1_QRU91422.1"
"59","QRU91938.1_QRU92058.1"
"60","QRU91938.1_QRU92991.1"
"61","QRU91938.1_QRU92154.1"
"62","QRU91938.1_QRU90810.1"
"63","QRU91938.1_QRU91182.1"
"64","QRU91938.1_QRU91206.1"
"65","QRU91938.1_QRU91218.1"
"66","QRU91938.1_QRU91290.1"
"67","QRU91938.1_QRU91434.1"
"68","QRU91938.1_QRU91374.1"
"69","QRU91938.1_QRU91662.1"
"70","QRU91938.1_QRU91686.1"
"71","QRU91938.1_QRU91578.1"
"72","QRU91938.1_QRU91974.1"
"73","QRU91938.1_QRU92297.1"
"74","QRU91938.1_QRU92226.1"
"75","QRU91014.1_QRU91938.1"
"76","QRU92058.1_QRU91086.1"
"77","QRU91086.1_QRU91590.1"
"78","QRU91014.1_QRU91086.1"
"79","QRU92991.1_QRU91086.1"
"80","QRU92154.1_QRU91086.1"
"81","QRU91938.1_QRU91590.1"
"82","QRU90810.1_QRU91086.1"
"83","QRU91182.1_QRU91086.1"
"84","QRU91206.1_QRU91086.1"
"85","QRU91218.1_QRU91086.1"
"86","QRU91290.1_QRU91086.1"
"87","QRU91434.1_QRU91086.1"
"88","QRU91374.1_QRU91086.1"
"89","QRU91662.1_QRU91086.1"
"90","QRU91686.1_QRU91086.1"
"91","QRU91578.1_QRU91086.1"
"92","QRU91974.1_QRU91086.1"
"93","QRU92297.1_QRU91086.1"
"94","QRU92226.1_QRU91086.1"
"95","QRU91938.1_QRU91086.1"
"96","QRU91014.1_QRU92058.1"
"97","QRU92991.1_QRU92058.1"
"98","QRU92154.1_QRU92058.1"
"99","QRU91014.1_QRU92991.1"
"100","QRU91014.1_QRU92154.1"
"101","QRU90810.1_QRU92058.1"
"102","QRU91182.1_QRU92058.1"
"103","QRU91206.1_QRU92058.1"
"104","QRU92991.1_QRU92154.1"
"105","QRU91218.1_QRU92058.1"
"106","QRU91290.1_QRU92058.1"
"107","QRU91434.1_QRU92058.1"
"108","QRU91374.1_QRU92058.1"
"109","QRU91662.1_QRU92058.1"
"110","QRU91686.1_QRU92058.1"
"111","QRU91578.1_QRU92058.1"
"112","QRU91974.1_QRU92058.1"
"113","QRU92297.1_QRU92058.1"
"114","QRU92226.1_QRU92058.1"
"115","QRU91014.1_QRU90810.1"
"116","QRU91014.1_QRU91182.1"
"117","QRU91014.1_QRU91206.1"
"118","QRU91014.1_QRU91218.1"
"119","QRU91014.1_QRU91290.1"
"120","QRU91014.1_QRU91434.1"
"121","QRU91014.1_QRU91374.1"
"122","QRU91014.1_QRU91662.1"
"123","QRU91014.1_QRU91686.1"
"124","QRU91014.1_QRU91578.1"
"125","QRU91014.1_QRU91974.1"
"126","QRU91014.1_QRU92297.1"
"127","QRU91014.1_QRU92226.1"
"128","QRU90810.1_QRU92991.1"
"129","QRU90810.1_QRU92154.1"
"130","QRU91182.1_QRU92991.1"
"131","QRU91182.1_QRU92154.1"
"132","QRU91206.1_QRU92991.1"
"133","QRU91206.1_QRU92154.1"
"134","QRU92991.1_QRU91218.1"
"135","QRU92991.1_QRU91290.1"
"136","QRU92991.1_QRU91434.1"
"137","QRU92991.1_QRU91374.1"
"138","QRU92991.1_QRU91662.1"
"139","QRU92991.1_QRU91686.1"
"140","QRU92991.1_QRU91578.1"
"141","QRU92991.1_QRU91974.1"
"142","QRU92991.1_QRU92297.1"
"143","QRU92991.1_QRU92226.1"
"144","QRU91218.1_QRU92154.1"
"145","QRU91290.1_QRU92154.1"
"146","QRU91434.1_QRU92154.1"
"147","QRU91374.1_QRU92154.1"
"148","QRU91662.1_QRU92154.1"
"149","QRU91686.1_QRU92154.1"
"150","QRU91578.1_QRU92154.1"
"151","QRU91974.1_QRU92154.1"
"152","QRU92297.1_QRU92154.1"
"153","QRU92226.1_QRU92154.1"
